City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
330,Olinda,BR,-8.0089,-34.8553,71.33,78,20,8.05,few clouds
331,Mount Gambier,AU,-37.8333,140.7667,55.49,92,100,11.45,overcast clouds
332,Kintampo,GH,8.0563,-1.7306,68.54,89,26,3.71,scattered clouds
333,Aktash,RU,50.3,87.7333,49.78,61,15,5.19,few clouds
334,Tshikapa,CD,-6.4167,20.8,73.06,41,90,0.74,overcast clouds
335,Truro,GB,50.2653,-5.0544,61.88,100,75,14.97,broken clouds
336,Abrau-Dyurso,RU,44.69,37.59,65.66,70,17,5.01,few clouds
337,Tuatapere,NZ,-46.1333,167.6833,46.29,71,77,4.94,broken clouds
338,Taoudenni,ML,22.6783,-3.9836,97.86,23,96,2.8,overcast clouds
339,Kimparana,ML,12.8347,-4.9244,74.68,86,100,7.4,overcast clouds
340,Khani,GE,41.9563,42.9566,53.17,89,13,4.38,few clouds
341,Beloha,MG,-25.1667,45.05,60.21,86,0,2.84,clear sky
342,Kavaratti,IN,10.5669,72.642,81.73,77,100,12.57,overcast clouds
